<Saved_Search_Name>,<Search_Type>,<Schedule>,<Index_Source>,<Eval>,<Lookup_Table>,<Indicator_Type_Name>,<Field_Matches>,<Earliest_Latest>,<Group_By>
CRITS_EP_BIT9_HashMD5,LookupTableSearch,27,index=bit9,,detect_hashmd5,Hash - MD5,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_EP_BIT9_HashSha1,LookupTableSearch,28,index=bit9,,detect_hashsha1,Hash - SHA1,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_EP_BIT9_HashSha2,LookupTableSearch,29,index=bit9,,detect_hashsha256,Hash - SHA256,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_EP_BIT9_Username,LookupTableSearch,30,index=bit9,,detect_account,Account,UserName,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_EP_BIT9_Windows_FileName,LookupTableSearch,31,index=bit9,,detect_windowsfilename,Windows - FileName,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_EP_BIT9_Windows_FilePath,LookupTableSearch,32,index=bit9,,detect_windowsfilepath,Windows - FilePath,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_IDS_Streetname,LookupTableSearch,33,index=snort,,detect_idsstreetname,IDS - Streetname,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_IDS_AV_Streetname,LookupTableSearch,34,index=av_logs,,detect_antivirusstreetname,Antivirus - Streetname,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_IIS_IP,LookupTableSearch,35,index=iis_logs,| eval cs_User_Agent=urldecode(cs_User_Agent),detect_addressipv4addr,Address - ipv4-addr,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_IIS_Path,LookupTableSearch,36,index=iis_logs,| eval cs_User_Agent=urldecode(cs_User_Agent),detect_uripath,URI - Path,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_IIS_UserAgent,LookupTableSearch,37,index=iis_logs,| eval cs_User_Agent=urldecode(cs_User_Agent),detect_urihttpuseragent,URI - HTTP - UserAgent,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Proxy_Bluecoat_IP,LookupTableSearch,38,index=bluecoat,,detect_addressipv4addr,Address - ipv4-addr,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Proxy_Bluecoat_UserAgent,LookupTableSearch,39,index=bluecoat,,detect_urihttpuseragent,URI - HTTP - UserAgent,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Proxy_DENIED_Bluecoat_Domain,LookupTableSearch,40,index=bluecoat,"DENIED | search filter_result=DENIED uri_host!=""windowsupdate.com"" uri_host!=""*goskope.com"" categories!=""*Unauthenticated*""",detect_uridomainname,URI - Domain Name,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Proxy_DENIED_Bluecoat_URL,LookupTableSearch,41,index=bluecoat,"DENIED | search filter_result=DENIED uri_host!=""windowsupdate.com"" uri_host!=""*goskope.com"" categories!=""*Unauthenticated*"" | eval URI = uri_host.uri_path.uri_query",detect_uriurl,URI - URL,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Proxy_DENIED_Bluecoat_URLPATH,LookupTableSearch,42,index=bluecoat,"DENIED | search filter_result=DENIED uri_host!=""windowsupdate.com"" uri_host!=""*goskope.com"" categories!=""*Unauthenticated*"" | eval URI = uri_host.uri_path.uri_query",detect_uripath,URI - Path,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Proxy_OBSERVED_Bluecoat_Domain,LookupTableSearch,43,index=bluecoat,"OBSERVED | search filter_result=OBSERVED uri_host!=""windowsupdate.com"" uri_host!=""*goskope.com"" categories!=""*Unauthenticated*""",detect_uridomainname,URI - Domain Name,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Proxy_OBSERVED_Bluecoat_URL,LookupTableSearch,44,index=bluecoat,"OBSERVED | search filter_result=OBSERVED uri_host!=""windowsupdate.com"" uri_host!=""*goskope.com"" categories!=""*Unauthenticated*"" | eval URI = uri_host.uri_path.uri_query",detect_uriurl,URI - URL,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Proxy_OBSERVED_Bluecoat_URLPATH,LookupTableSearch,45,index=bluecoat,"OBSERVED | search filter_result=OBSERVED uri_host!=""windowsupdate.com"" uri_host!=""*goskope.com"" categories!=""*Unauthenticated*"" | eval URI = uri_host.uri_path.uri_query",detect_uripath,URI - Path,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_SMTP_Address,LookupTableSearch,46,index=email_*,,detect_emailaddress,Email - Address,,_index_earliest=-72m _index_latest=-10m,ObjectID
